Категория,Дисциплина,Тип,Спортсмен / Команда,Состав эстафеты,Результат,Результат (сек),Место,Дата,Дата (ISO)
"Женщины, бассейн 50 м",на спине 50 м,личное,Гайфутдинова Алина,,27.23,27.23,Санкт-Петербург,19.04.2026,2026-04-19
"Женщины, бассейн 50 м",на спине 50 м,личное,Фесикова Анастасия,,27.23,27.23,Глазго,04.08.2018,2018-08-04
"Женщины, бассейн 50 м",брасс 50 м,личное,Ефимова Юлия,,29.52,29.52,Барселона,04.08.2013,2013-08-04
"Женщины, бассейн 50 м",баттерфляй 50 м,личное,Суркова Арина,,25.30,25.30,Казань,19.04.2023,2023-04-19
"Женщины, бассейн 50 м",вольный стиль 50 м,личное,Каменева Мария,,24.20,24.20,Казань,09.04.2021,2021-04-09
"Женщины, бассейн 50 м",на спине 100 м,личное,Зуева Анастасия,,58.18,58.18,Рим,28.07.2009,2009-07-28
"Женщины, бассейн 50 м",брасс 100 м,личное,Ефимова Юлия,,1:04.36,64.36,Будапешт,24.07.2017,2017-07-24
"Женщины, бассейн 50 м",баттерфляй 100 м,личное,Клепикова Дарья,,56.42,56.42,Сингапур,27.07.2025,2025-07-27
"Женщины, бассейн 50 м",вольный стиль 100 м,личное,Клепикова Дарья,,52.98,52.98,Сингапур,01.08.2025,2025-08-01
"Женщины, бассейн 50 м",на спине 200 м,личное,Зуева Анастасия,,2:04.94,124.94,Рим,01.08.2009,2009-08-01
"Женщины, бассейн 50 м",брасс 200 м,личное,Чикунова Евгения,,2:17.55,137.55,Казань,21.04.2023,2023-04-21
"Женщины, бассейн 50 м",баттерфляй 200 м,личное,Чимрова Светлана,,2:07.33,127.33,Глазго,06.08.2018,2018-08-06
"Женщины, бассейн 50 м",вольный стиль 200 м,личное,Попова Вероника,,1:55.08,115.08,Будапешт,25.07.2017,2017-07-25
"Женщины, бассейн 50 м",комплексное плавание 200 м,личное,Андреева Виктория,,2:09.56,129.56,Москва,19.04.2016,2016-04-19
"Женщины, бассейн 50 м",вольный стиль 400 м,личное,Егорова Анна,,4:04.10,244.10,Казань,04.04.2021,2021-04-04
"Женщины, бассейн 50 м",комплексное плавание 400 м,личное,Мартынова Яна,,4:36.25,276.25,Пекин,09.08.2008,2008-08-09
